"","t","y"
"263",129.85,38.4411
"264",130.85,38.3396
"265",131.55,38.4411
"266",131.75,38.4411
"267",132.25,38.4411
"268",132.4,38.5428
"269",132.5,38.5428
"270",134.55,38.4411
"271",134.6,38.3396
"272",135.05,38.3396
"273",135.7,38.2381
"274",136.15,38.2381
"275",136.85,38.1367
"276",136.9,38.0355
"277",137.15,38.0355
"278",137.45,38.0355
"279",137.6,38.0355
"280",137.8,38.2381
"281",138.3,38.1367
"282",138.5,38.0355
"283",138.65,38.0355
"284",138.7,38.0355
"285",138.85,38.0355
"286",139.05,37.9343
"287",139.15,38.0355
"288",139.95,38.2381
"289",141.1,38.5428
"290",141.15,38.5428
"291",141.2,38.6445
"292",142.15,38.9502
"293",142.4,38.5428
"294",143.15,38.4411
"295",143.35,38.4411
"296",145.2,38.6445
"297",145.65,38.7463
"298",145.8,38.8482
"299",146.05,38.9502
"300",146.5,38.9502
"301",146.65,39.0523
"302",147.9,38.8482
"303",148.25,38.9502
"304",148.35,38.8482
"305",148.55,38.8482
"306",149,38.6445
"307",149.1,38.6445
"308",149.4,38.7463
"309",149.85,38.7463
"310",151.3,38.6445
"311",151.35,38.6445
"312",151.7,38.7463
"313",151.75,38.6445
"314",152,38.6445
"315",152.1,38.6445
"316",152.35,38.5428
"317",153.35,38.5428
"318",153.55,38.5428
"319",153.9,38.5428
"320",155.3,38.3396
"321",155.45,38.4411
"322",156.15,38.4411
"323",156.9,38.3396
"324",157.05,38.3396
"325",158.35,38.4411
"326",159.25,38.6445
"327",159.8,38.6445
"328",160,38.6445
"329",160.5,38.6445
"330",161.55,38.5428
"331",161.75,38.6445
"332",161.8,38.6445
"333",161.85,38.6445
"334",162.65,38.5428
"335",162.9,38.4411
"336",163.75,38.4411
"337",165.7,38.2381
"338",166.4,38.3396
"339",166.75,38.5428
"340",166.95,38.4411
"341",167,38.4411
"342",167.1,38.3396
"343",167.45,38.5428
"344",168.75,38.6445
"345",168.95,38.6445
"346",169.05,38.5428
"347",169.4,38.4411
"348",169.55,38.3396
"349",170.25,38.7463
"350",171.4,38.5428
"351",171.7,38.7463
"352",172.3,38.8482
"353",172.7,38.9502
"354",174.1,38.5428
"355",174.6,38.6445
"356",174.85,38.5428
"357",175.3,38.5428
"358",175.5,38.4411
"359",175.7,38.5428
"360",175.75,38.5428
"361",177.45,38.7463
"362",178.25,38.9502
"363",178.3,38.8482
"364",178.65,38.6445
"365",179.1,38.6445
"366",180.65,38.8482
"367",180.8,38.8482
"368",181.3,38.8482
"369",182.6,38.5428
"370",183.2,38.5428
"371",183.6,38.5428
"372",183.65,38.5428
"373",184.15,38.4411
"374",184.75,38.5428
"375",185.2,38.5428
"376",185.35,38.4411
"377",185.5,38.4411
"378",185.65,38.3396
"379",186.1,38.3396
"380",186.45,38.3396
"381",187.15,38.3396
"382",187.2,38.4411
"383",187.6,38.4411
"384",188.5,38.4411
"385",188.6,38.4411
"386",188.7,38.4411
"387",189.05,38.4411
"388",189.15,38.4411
"389",189.3,38.4411
"390",189.85,38.3396
"391",191.85,38.2381
"392",192.15,38.3396
"393",193.75,38.3396
"394",194.05,38.3396
"395",194.25,38.4411
"396",194.5,38.5428
"397",194.55,38.5428
"398",195.75,38.9502
"399",196.25,38.9502
"400",196.65,38.8482
"401",197.1,39.0523
"402",197.2,38.9502
"403",197.65,38.8482
"404",198.7,38.6445
"405",198.9,38.6445
"406",198.95,38.6445
"407",199.45,38.5428
"408",199.85,38.5428
"409",200.25,38.4411
"410",201,38.3396
"411",201.3,38.2381
"412",201.55,38.3396
"413",202.05,38.3396
"414",203,38.3396
"415",203.75,38.2381
"416",204.15,38.1367
"417",204.4,38.2381
"418",204.5,38.3396
"419",204.6,38.4411
"420",205.3,38.4411
"421",206,38.5428
"422",206.6,38.4411
"423",206.65,38.4411
"424",207.3,38.4411
"425",207.35,38.4411
"426",207.45,38.3396
"427",208.3,38.2381
"428",208.85,38.1367
"429",208.95,38.1367
"430",209,38.0355
"431",209.05,38.0355
"432",209.2,38.0355
"433",210.4,38.1367
"434",210.9,38.3396
"435",211.55,38.3396
"436",211.85,38.5428
"437",212.3,38.6445
"438",212.85,38.6445
"439",213.65,38.6445
"440",214.3,38.4411
"441",214.7,38.4411
"442",215.75,38.2381
"443",217.45,38.2381
"444",217.5,38.2381
"445",217.85,38.4411
"446",218,38.5428
"447",220.1,39.3591
"448",220.2,39.2567
"449",220.65,39.1545
"450",221.75,39.0523
"451",222.2,38.9502
"452",222.55,38.8482
"453",223.5,38.9502
"454",224.8,38.8482
"455",224.9,38.8482
"456",225.45,39.0523
"457",225.9,38.9502
"458",226.1,38.8482
"459",226.2,38.9502
"460",226.35,38.9502
"461",226.4,38.9502
"462",226.5,38.9502
"463",226.55,38.9502
"464",227.45,38.7463
"465",227.55,38.7463
"466",228.25,38.6445
"467",228.95,38.7463
"468",229.9,38.6445
"469",230.05,38.7463
"470",230.55,38.7463
"471",230.7,38.7463
"472",231.35,38.7463
"473",232.1,38.5428
"474",232.25,38.6445
"475",232.3,38.6445
"476",233.5,38.2381
"477",234.15,38.2381
"478",234.2,38.2381
"479",234.8,38.2381
"480",235,38.2381
"481",235.25,38.2381
"482",235.55,38.3396
"483",235.6,38.3396
"484",236,38.4411
"485",236.2,38.5428
"486",236.85,38.7463
"487",237.1,38.6445
"488",237.55,38.6445
"489",238.2,38.7463
"490",238.4,38.6445
"491",238.7,38.8482
"492",239.2,38.6445
"493",239.6,38.5428
"494",239.7,35.6296
"495",240.85,38.5428
"496",241.2,38.6445
"497",241.35,38.6445
"498",241.5,38.6445
"499",241.85,38.6445
"500",242.75,38.6445
"501",243.5,38.7463
"502",244.35,38.6445
"503",244.75,38.6445
"504",245.35,38.6445
"505",246,38.7463
"506",246.4,38.9502
"507",246.9,38.7463
"508",247.6,38.9502
"509",247.75,38.9502
"510",248,38.9502
"511",248.2,39.0523
"512",248.6,38.8482
"513",249.4,38.6445
"514",250.2,38.7463
"515",250.25,38.7463
"516",251,38.9502
"517",251.25,38.9502
"518",252.35,38.8482
"519",252.5,38.8482
"520",252.75,38.6445
"521",253.55,38.6445
"522",254.5,38.6445
"523",254.95,38.4411
"524",256.05,38.3396
"525",256.35,38.1367
"526",257.55,38.2381
"527",258.2,38.3396
"528",259.45,38.0355
"529",259.5,37.9343
"530",260.05,38.1367
"531",260.2,38.0355
"532",261.25,38.2381
"533",261.7,38.2381
"534",262.05,38.3396
"535",263.3,38.6445
"536",263.6,38.5428
"537",264.15,38.6445
"538",264.25,38.7463
"539",264.7,38.4411
"540",265.55,38.5428
"541",265.7,38.6445
"542",266.3,38.6445
"543",266.45,38.6445
"544",268.9,38.7463
"545",269.05,38.6445
"546",270.1,38.5428
"547",270.2,38.6445
"548",270.55,38.6445
"549",271.05,38.5428
"550",271.35,38.4411
"551",272.2,38.6445
"552",272.25,38.6445
"553",272.4,38.3396
"554",272.85,38.1367
"555",272.9,38.1367
"556",273.85,38.2381
"557",275.15,38.5428
"558",275.4,38.5428
"559",275.45,38.5428
"560",276,38.3396
"561",276.45,38.3396
"562",277.25,38.3396
"563",278.1,38.3396
"564",278.95,38.5428
"565",279.05,38.5428
"566",280.15,38.3396
"567",280.25,38.3396
"568",280.35,38.3396
"569",280.75,38.0355
"570",281.5,37.9343
"571",282.4,38.1367
"572",283.15,37.9343
"573",283.55,38.0355
"574",285.15,37.7321
"575",285.35,37.6311
"576",285.5,37.6311
"577",285.6,37.6311
"578",286.55,37.7321
"579",286.8,37.8331
"580",287.1,37.9343
"581",288.55,38.4411
"582",288.7,38.5428
"583",289,38.5428
"584",289.35,38.5428
"585",289.4,38.5428
"586",289.95,38.6445
"587",290,38.6445
"588",290.4,38.6445
"589",291.15,38.4411
"590",291.25,38.4411
"591",291.3,38.4411
"592",291.45,38.4411
"593",291.55,38.4411
"594",292.5,38.6445
"595",293.05,38.7463
"596",293.1,38.7463
"597",293.55,38.6445
"598",293.95,38.5428
"599",294.2,38.4411
"600",294.7,39.0523
"601",295.4,38.4411
"602",295.45,38.4411
"603",296.2,38.3396
"604",296.25,38.3396
"605",296.6,38.3396
"606",298.3,38.3396
"607",299.15,38.3396
"608",299.35,38.3396
"609",299.4,38.2381
"610",300.7,38.3396
"611",300.9,38.2381
"612",301.4,38.1367
"613",302.75,38.2381
"614",303.35,37.9343
"615",303.75,38.0355
"616",304.4,38.0355
"617",304.5,38.0355
"618",306.4,37.9343
"619",306.65,37.9343
"620",307.6,37.8331
"621",307.65,37.8331
"622",307.85,37.8331
"623",308.3,37.6311
"624",308.65,37.7321
"625",308.8,37.6311
"626",309.1,37.6311
"627",309.6,37.8331
"628",310.3,38.2381
"629",310.9,38.2381
"630",311.3,38.2381
"631",311.4,38.3396
"632",311.55,38.3396
"633",311.8,38.4411
"634",312.4,38.6445
"635",312.65,38.7463
"636",313.1,38.6445
"637",313.15,38.6445
"638",313.8,38.8482
"639",314.45,38.9502
"640",315.15,38.8482
"641",315.7,38.9502
"642",315.85,38.8482
"643",315.9,38.7463
"644",317.9,39.0523
"645",318.05,39.0523
"646",318.6,38.9502
"647",320.6,38.7463
"648",321.1,38.7463
"649",321.6,38.3396
"650",321.95,38.4411
"651",322.4,38.6445
"652",322.9,38.9502
"653",324.1,38.7463
"654",324.15,38.8482
"655",325.25,38.6445
"656",326.35,38.6445
"657",326.8,38.6445
"658",328.15,38.6445
"659",328.2,38.6445
"660",328.7,38.3396
"661",330.6,38.3396
"662",331,38.2381
"663",331.05,38.2381
"664",331.1,38.2381
"665",331.35,38.3396
"666",332.45,38.1367
"667",332.95,38.1367
"668",333.55,38.0355
"669",334.05,38.2381
"670",334.4,38.3396
"671",334.5,38.2381
"672",334.6,38.2381
"673",334.7,38.3396
"674",334.85,38.3396
"675",335.6,38.5428
"676",336.55,38.4411
"677",338.15,38.7463
"678",338.65,38.8482
"679",338.85,38.8482
"680",338.9,38.8482
"681",339.25,38.8482
"682",339.7,38.8482
"683",339.75,38.8482
"684",340.85,38.7463
"685",341.25,38.7463
"686",341.45,38.7463
"687",342.65,39.0523
"688",343.45,39.1545
"689",343.75,39.1545
"690",344.25,39.1545
"691",345.25,38.9502
"692",346.1,38.7463
"693",346.6,38.7463
"694",346.7,38.7463
"695",347.4,38.6445
"696",347.75,38.4411
"697",348.1,38.6445
"698",348.2,38.6445
"699",348.8,38.6445
"700",350.25,38.4411
"701",350.5,38.4411
"702",351.1,38.2381
"703",351.75,38.1367
"704",351.95,38.2381
"705",352.5,38.2381
"706",353.25,38.2381
"707",354.7,38.3396
"708",355.5,38.0355
"709",356,38.0355
"710",356.25,38.2381
"711",357.4,38.4411
"712",358.05,38.4411
"713",358.1,38.4411
"714",358.6,38.5428
"715",358.8,38.5428
"716",359.85,38.5428
"717",360.25,38.6445
"718",360.9,38.6445
"719",361.2,38.4411
"720",362.05,38.4411
"721",362.35,38.4411
"722",362.45,38.5428
"723",362.75,38.5428
"724",362.85,38.6445
"725",363,38.6445
"726",364.4,38.7463
"727",364.55,38.7463
"728",364.9,38.6445
"729",365.05,38.7463
"730",365.45,38.6445
"731",365.7,38.7463
"732",365.95,38.7463
"733",366.35,39.0523
"734",366.55,39.0523
"735",367.3,38.6445
"736",367.7,38.8482
"737",368,38.7463
"738",368.05,38.7463
"739",369.15,38.8482
"740",369.5,38.8482
"741",370.2,38.8482
"742",370.65,38.7463
"743",371.3,38.7463
"744",371.95,38.4411
"745",372,38.4411
"746",372.25,38.3396
"747",372.65,38.4411
"748",373.25,38.3396
"749",374.55,38.3396
"750",374.6,38.3396
"751",374.9,38.2381
"752",375.05,38.3396
"753",375.6,38.4411
"754",375.65,38.4411
"755",377.2,38.0355
"756",377.65,38.1367
"757",377.7,38.2381
"758",378.95,38.2381
"759",379.05,38.2381
"760",380.15,38.2381
"761",380.2,38.3396
"762",380.25,38.2381
"763",381.7,38.1367
"764",381.9,38.1367
"765",382.8,38.4411
"766",383.35,38.6445
"767",383.65,38.7463
"768",383.8,38.7463
"769",384.45,38.4411
"770",385.4,38.1367
"771",385.95,38.1367
"772",386.85,38.8482
"773",387,38.9502
"774",387.1,38.8482
"775",388.5,39.1545
"776",388.6,39.0523
"777",388.65,39.0523
"778",389.05,39.0523
"779",389.8,39.0523
"780",390.1,39.0523
"781",391.5,38.9502
"782",391.6,38.9502
"783",391.85,38.9502
"784",393.1,38.9502
"785",394.25,38.9502
"786",395.1,38.6445
"787",395.45,38.5428
"788",395.55,38.5428
"789",396.45,38.8482
"790",396.55,38.7463
"791",396.6,38.7463
"792",396.9,38.6445
"793",397.2,38.6445
"794",397.3,38.5428
"795",397.45,38.6445
"796",397.85,38.7463
"797",398,38.6445
"798",398.85,38.4411
"799",399.9,38.2381
"800",399.95,38.2381
"801",400.35,38.1367
"802",400.4,38.1367
"803",400.5,38.1367
"804",400.65,38.1367
"805",401,38.2381
"806",401.05,38.2381
"807",401.25,38.1367
"808",401.3,38.1367
"809",401.35,38.0355
"810",401.65,38.0355
"811",401.8,38.1367
"812",402.15,38.3396
"813",402.7,38.0355
"814",403.15,38.0355
"815",403.25,38.0355
"816",403.65,38.0355
"817",404.25,38.0355
"818",405.1,38.2381
"819",406.25,38.4411
"820",406.35,38.4411
"821",406.5,38.4411
"822",406.8,38.5428
"823",407.05,38.6445
"824",407.15,38.6445
"825",407.25,38.6445
"826",407.35,38.6445
"827",407.5,38.7463
"828",407.9,38.8482
"829",408.45,38.9502
"830",408.95,38.5428
"831",409.2,38.6445
"832",409.9,38.8482
"833",410.15,38.8482
"834",411.1,38.9502
"835",411.6,39.0523
"836",412.2,39.1545
"837",412.75,39.1545
"838",413.05,39.1545
"839",413.15,38.9502
"840",413.65,38.9502
"841",413.75,38.9502
"842",414.3,38.7463
"843",415.1,38.7463
"844",415.4,38.8482
"845",415.6,38.7463
"846",416.15,38.7463
"847",416.8,38.6445
"848",417.65,38.5428
"849",419.3,38.5428
"850",419.8,38.4411
"851",420.15,38.4411
"852",420.45,38.3396
"853",420.8,38.4411
"854",421.15,38.4411
"855",421.65,38.3396
"856",422.25,38.2381
"857",422.9,38.4411
"858",423.45,38.6445
"859",423.85,38.4411
"860",423.95,38.4411
"861",424.1,38.4411
"862",424.3,38.5428
"863",424.75,38.6445
"864",427.2,38.3396
"865",427.3,38.3396
"866",427.9,38.4411
"867",428.05,38.4411
"868",428.4,38.5428
"869",428.45,38.6445
"870",428.85,38.6445
"871",430.25,38.3396
"872",430.85,38.1367
"873",432.4,38.0355
"874",432.55,38.0355
"875",433.15,38.4411
"876",433.25,38.4411
"877",433.8,38.5428
"878",434.15,38.4411
"879",435.45,38.9502
"880",435.6,39.0523
"881",435.75,39.1545
"882",436.65,39.1545
"883",436.85,39.1545
"884",437.25,39.0523
"885",437.75,38.6445
"886",438.35,38.8482
"887",438.4,38.9502
"888",438.55,38.9502
"889",439.65,38.8482
"890",440.25,38.9502
"891",441.4,38.7463
"892",441.5,38.7463
"893",441.95,38.8482
"894",442.35,38.8482
"895",442.4,38.8482
"896",442.45,38.8482
"897",442.6,38.7463
"898",442.75,38.7463
"899",442.85,38.7463
"900",443.6,38.9502
"901",443.8,38.8482
"902",443.9,38.8482
"903",444.2,38.6445
"904",444.3,38.5428
"905",444.55,38.6445
"906",445.35,38.6445
"907",445.65,38.7463
"908",446.45,38.4411
"909",446.5,38.4411
"910",446.65,38.4411
"911",446.7,38.5428
"912",447.1,38.3396
"913",447.35,38.2381
"914",447.45,38.3396
"915",447.75,38.3396
"916",447.9,38.4411
"917",447.95,38.4411
"918",448.05,38.4411
"919",448.15,38.4411
"920",448.2,38.4411
"921",448.55,38.3396
"922",449.1,38.2381
"923",449.45,38.2381
"924",449.7,38.1367
"925",449.8,38.1367
"926",450.15,38.1367
"927",450.25,38.1367
"928",451.3,38.0355
"929",451.6,38.0355
"930",452.4,38.0355
"931",453.25,37.9343
"932",454.7,38.0355
"933",456.35,38.1367
"934",456.9,38.1367
"935",458.05,38.9502
"936",458.35,38.9502
"937",459.25,39.0523
"938",459.8,39.0523
"939",460.3,38.9502
"940",460.4,38.8482
"941",460.45,38.8482
"942",460.75,38.9502
"943",462,38.7463
"944",462.35,38.7463
"945",462.5,38.7463
"946",463.2,38.7463
"947",463.25,38.7463
"948",464.25,38.5428
"949",464.5,38.6445
"950",465.75,38.6445
"951",465.95,38.7463
"952",466.1,38.7463
"953",467,38.8482
"954",468.85,38.5428
"955",469.1,38.6445
"956",470.2,38.6445
"957",470.25,38.6445
"958",471.45,38.6445
"959",472.15,38.3396
"960",473.3,38.0355
"961",473.65,38.0355
"962",473.75,38.1367
"963",473.85,38.0355
"964",474.25,38.1367
"965",474.6,38.3396
"966",474.95,38.3396
"967",475.3,38.2381
"968",476.7,38.7463
"969",477.2,38.3396
"970",477.3,38.3396
"971",477.4,38.3396
"972",477.8,38.1367
"973",478.7,38.3396
"974",479.45,38.1367
"975",479.7,38.3396
"976",480.65,38.3396
"977",480.8,38.1367
"978",481.25,38.2381
"979",481.35,38.2381
"980",481.6,38.2381
"981",482.95,38.3396
"982",483.15,38.6445
"983",483.85,38.8482
"984",484,38.8482
"985",484.25,38.8482
"986",484.4,38.8482
"987",484.5,38.8482
"988",484.55,38.9502
"989",485.8,38.8482
"990",486.1,38.7463
"991",486.9,38.8482
"992",487.3,38.7463
"993",487.9,38.8482
"994",488.05,38.8482
"995",488.45,38.8482
"996",488.85,38.8482
"997",489.85,38.8482
"998",490.55,38.8482
"999",493.25,38.7463
"1000",493.3,38.7463
"1001",494.2,38.5428
"1002",494.9,38.4411
"1003",495,38.3396
"1004",495.35,38.4411
"1005",495.75,38.3396
"1006",495.9,38.4411
"1007",496.05,38.4411
"1008",497.3,38.3396
"1009",497.45,38.4411
"1010",497.75,38.4411
"1011",497.85,38.4411
"1012",498.25,38.2381
"1013",498.4,38.2381
"1014",498.6,38.2381
"1015",498.85,38.2381
"1016",498.95,38.3396
"1017",499.05,38.2381
"1018",499.25,38.3396
"1019",499.85,38.3396
"1020",499.95,38.3396
"1021",500,38.3396
"1022",502.45,37.5303
"1023",503.15,37.8331
"1024",503.25,38.0355
"1025",503.45,37.4295
"1026",506.45,38.7463
"1027",506.5,38.6445
"1028",507.65,38.7463
"1029",508.85,38.8482
"1030",509.25,38.7463
"1031",509.65,38.6445
"1032",510.45,38.7463
"1033",510.9,38.5428
"1034",511.4,38.5428
"1035",512,38.6445
"1036",512.2,38.6445
"1037",512.4,38.4411
"1038",512.5,38.5428
"1039",512.8,38.6445
"1040",513.35,38.7463
"1041",513.8,39.0523
"1042",514.2,40.1811
"1043",514.65,39.4615
"1044",514.8,39.6666
"1045",514.85,39.564
"1046",515.55,38.7463
"1047",515.85,38.6445
"1048",516.3,38.6445
"1049",516.85,38.6445
"1050",517.35,38.5428
"1051",518.1,38.2381
"1052",518.15,38.2381
"1053",518.45,38.3396
"1054",519.15,38.1367
"1055",519.45,38.1367
"1056",519.7,38.1367
"1057",519.9,38.1367
"1058",520.3,38.0355
"1059",520.6,38.0355
"1060",520.65,38.0355
"1061",520.9,38.1367
"1062",522.25,38.0355
"1063",522.35,38.0355
"1064",522.7,38.1367
"1065",522.95,38.0355
"1066",523.2,38.0355
"1067",523.3,37.9343
"1068",524.5,38.2381
"1069",527.05,38.1367
"1070",527.2,38.3396
"1071",527.4,38.6445
"1072",527.6,37.9343
"1073",529.6,38.2381
"1074",529.9,38.2381
"1075",530.75,38.1367
"1076",531.15,38.3396
"1077",531.6,38.6445
"1078",532.15,38.9502
"1079",532.55,39.1545
"1080",534.3,39.2567
"1081",534.35,39.1545
"1082",534.6,39.1545
"1083",535.25,38.9502
"1084",535.3,38.9502
"1085",536.2,38.8482
"1086",536.55,38.8482
"1087",537.1,38.7463
"1088",537.7,38.7463
"1089",538.3,38.8482
"1090",540.8,38.6445
"1091",541.2,38.6445
"1092",542.1,38.5428
"1093",543.25,38.8482
"1094",543.7,38.7463
"1095",544.05,38.6445
"1096",544.15,38.6445
"1097",545.15,38.3396
"1098",545.7,38.4411
"1099",545.9,38.3396
"1100",546.5,38.3396
"1101",546.9,38.1367
"1102",547.65,37.9343
"1103",547.95,38.0355
"1104",549.5,38.0355
"1105",550.05,38.3396
"1106",550.5,38.5428
"1107",551.45,38.4411
"1108",552.95,38.9502
"1109",553.65,38.7463
"1110",554,38.4411
"1111",554.35,38.9502
"1112",554.65,38.9502
"1113",555.6,38.9502
"1114",556.55,39.0523
"1115",556.75,39.0523
"1116",557.25,39.2567
"1117",558.35,38.9502
"1118",558.95,39.1545
"1119",559.6,39.0523
"1120",559.85,39.1545
"1121",560.15,38.9502
"1122",560.5,38.9502
"1123",560.85,38.7463
"1124",561.05,38.7463
"1125",561.3,38.7463
"1126",561.75,38.6445
"1127",563.1,38.6445
"1128",563.2,38.6445
"1129",564.35,38.4411
"1130",564.4,38.4411
"1131",564.45,38.4411
"1132",565.2,38.4411
"1133",566.15,38.4411
"1134",566.3,38.4411
"1135",566.5,38.4411
"1136",568.2,38.4411
"1137",568.4,38.3396
"1138",568.7,38.4411
"1139",569.15,38.3396
"1140",569.3,38.2381
"1141",569.35,38.3396
"1142",571.25,38.1367
"1143",571.55,38.1367
"1144",572.3,38.1367
"1145",573.45,38.4411
"1146",574.4,38.7463
"1147",574.95,38.7463
"1148",575,38.6445
"1149",575.15,38.6445
"1150",575.25,38.6445
"1151",575.3,38.7463
"1152",576.15,38.5428
"1153",576.55,38.5428
"1154",576.7,38.6445
"1155",578.55,38.6445
"1156",578.7,38.6445
"1157",578.9,38.7463
"1158",579.3,38.8482
"1159",580.05,38.8482
"1160",580.35,39.0523
